Running simulation: 3 nodes, scenario 2.
6.333 196 0 6.333 0.03925 0.2 6.09375
6.36425 197 0 6.36425 0.03925 0.2 6.125
6.3955 198 0 6.3955 0.03925 0.2 6.15625
6.42675 199 0 6.42675 0.03925 0.2 6.1875
6.458 200 0 6.458 0.03925 0.2 6.21875
6.48925 201 0 6.48925 0.03925 0.2 6.25
6.5205 202 0 6.5205 0.03925 0.2 6.28125
6.55175 203 0 6.55175 0.03925 0.2 6.3125
6.583 204 0 6.583 0.03925 0.2 6.34375
6.61425 205 0 6.61425 0.03925 0.2 6.375
6.6455 206 0 6.6455 0.03925 0.2 6.40625
6.67675 207 0 6.67675 0.03925 0.2 6.4375
6.708 208 0 6.708 0.03925 0.2 6.46875
6.73925 209 0 6.73925 0.03925 0.2 6.5
6.7705 210 0 6.7705 0.03925 0.2 6.53125
6.80175 211 0 6.80175 0.03925 0.2 6.5625
6.833 212 0 6.833 0.03925 0.2 6.59375
6.86425 213 0 6.86425 0.03925 0.2 6.625
6.8955 214 0 6.8955 0.03925 0.2 6.65625
6.92675 215 0 6.92675 0.03925 0.2 6.6875
6.958 216 0 6.958 0.03925 0.2 6.71875
6.98925 217 0 6.98925 0.03925 0.2 6.75
7.0205 218 0 7.0205 0.03925 0.2 6.78125
7.05175 219 0 7.05175 0.03925 0.2 6.8125
7.083 220 0 7.083 0.03925 0.2 6.84375
7.11425 221 0 7.11425 0.03925 0.2 6.875
7.1455 222 0 7.1455 0.03925 0.2 6.90625
7.17675 223 0 7.17675 0.03925 0.2 6.9375
7.208 224 0 7.208 0.03925 0.2 6.96875
7.23925 225 0 7.23925 0.03925 0.2 7.0
7.2705 226 0 7.2705 0.03925 0.2 7.03125
7.30175 227 0 7.30175 0.03925 0.2 7.0625
7.333 228 0 7.333 0.03925 0.2 7.09375
7.36425 229 0 7.36425 0.03925 0.2 7.125
7.3955 230 0 7.3955 0.03925 0.2 7.15625
7.42675 231 0 7.42675 0.03925 0.2 7.1875
7.458 232 0 7.458 0.03925 0.2 7.21875
7.48925 233 0 7.48925 0.03925 0.2 7.25
7.5205 234 0 7.5205 0.03925 0.2 7.28125
7.55175 235 0 7.55175 0.03925 0.2 7.3125
7.583 236 0 7.583 0.03925 0.2 7.34375
7.61425 237 0 7.61425 0.03925 0.2 7.375
7.6455 238 0 7.6455 0.03925 0.2 7.40625
7.67675 239 0 7.67675 0.03925 0.2 7.4375
7.708 240 0 7.708 0.03925 0.2 7.46875
7.73925 241 0 7.73925 0.03925 0.2 7.5
7.7705 242 0 7.7705 0.03925 0.2 7.53125
7.80175 243 0 7.80175 0.03925 0.2 7.5625
7.833 244 0 7.833 0.03925 0.2 7.59375
7.86425 245 0 7.86425 0.03925 0.2 7.625
7.8955 246 0 7.8955 0.03925 0.2 7.65625
7.92675 247 0 7.92675 0.03925 0.2 7.6875
7.958 248 0 7.958 0.03925 0.2 7.71875
7.98925 249 0 7.98925 0.03925 0.2 7.75
8.0205 250 0 8.0205 0.03925 0.2 7.78125
8.05175 251 0 8.05175 0.03925 0.2 7.8125
8.083 252 0 8.083 0.03925 0.2 7.84375
8.11425 253 0 8.11425 0.03925 0.2 7.875
8.1455 254 0 8.1455 0.03925 0.2 7.90625
8.17675 255 0 8.17675 0.03925 0.2 7.9375
8.208 256 0 8.208 0.03925 0.2 7.96875
8.23925 257 0 8.23925 0.03925 0.2 8.0
8.2705 258 0 8.2705 0.03925 0.2 8.03125
8.30175 259 0 8.30175 0.03925 0.2 8.0625
8.333 260 0 8.333 0.03925 0.2 8.09375
8.36425 261 0 8.36425 0.03925 0.2 8.125
8.3955 262 0 8.3955 0.03925 0.2 8.15625
8.42675 263 0 8.42675 0.03925 0.2 8.1875
8.458 264 0 8.458 0.03925 0.2 8.21875
8.48925 265 0 8.48925 0.03925 0.2 8.25
8.5205 266 0 8.5205 0.03925 0.2 8.28125
8.55175 267 0 8.55175 0.03925 0.2 8.3125
8.583 268 0 8.583 0.03925 0.2 8.34375
8.61425 269 0 8.61425 0.03925 0.2 8.375
8.6455 270 0 8.6455 0.03925 0.2 8.40625
8.67675 271 0 8.67675 0.03925 0.2 8.4375
8.708 272 0 8.708 0.03925 0.2 8.46875
8.73925 273 0 8.73925 0.03925 0.2 8.5
8.7705 274 0 8.7705 0.03925 0.2 8.53125
8.80175 275 0 8.80175 0.03925 0.2 8.5625
8.833 276 0 8.833 0.03925 0.2 8.59375
8.86425 277 0 8.86425 0.03925 0.2 8.625
8.8955 278 0 8.8955 0.03925 0.2 8.65625
8.92675 279 0 8.92675 0.03925 0.2 8.6875
8.958 280 0 8.958 0.03925 0.2 8.71875
8.98925 281 0 8.98925 0.03925 0.2 8.75
9.0205 282 0 9.0205 0.03925 0.2 8.78125
9.05175 283 0 9.05175 0.03925 0.2 8.8125
9.083 284 0 9.083 0.03925 0.2 8.84375
9.11425 285 0 9.11425 0.03925 0.2 8.875
9.1455 286 0 9.1455 0.03925 0.2 8.90625
9.17675 287 0 9.17675 0.03925 0.2 8.9375
9.208 288 0 9.208 0.03925 0.2 8.96875
9.23925 289 0 9.23925 0.03925 0.2 9.0
9.2705 290 0 9.2705 0.03925 0.2 9.03125
9.30175 291 0 9.30175 0.03925 0.2 9.0625
9.333 292 0 9.333 0.03925 0.2 9.09375
9.36425 293 0 9.36425 0.03925 0.2 9.125
9.3955 294 0 9.3955 0.03925 0.2 9.15625
9.42675 295 0 9.42675 0.03925 0.2 9.1875
9.458 296 0 9.458 0.03925 0.2 9.21875
9.48925 297 0 9.48925 0.03925 0.2 9.25
9.5205 298 0 9.5205 0.03925 0.2 9.28125
9.55175 299 0 9.55175 0.03925 0.2 9.3125
9.583 300 0 9.583 0.03925 0.2 9.34375
9.61425 301 0 9.61425 0.03925 0.2 9.375
9.6455 302 0 9.6455 0.03925 0.2 9.40625
9.67675 303 0 9.67675 0.03925 0.2 9.4375
9.708 304 0 9.708 0.03925 0.2 9.46875
9.73925 305 0 9.73925 0.03925 0.2 9.5
9.7705 306 0 9.7705 0.03925 0.2 9.53125
9.80175 307 0 9.80175 0.03925 0.2 9.5625
9.833 308 0 9.833 0.03925 0.2 9.59375
9.86425 309 0 9.86425 0.03925 0.2 9.625
9.8955 310 0 9.8955 0.03925 0.2 9.65625
9.92675 311 0 9.92675 0.03925 0.2 9.6875
9.958 312 0 9.958 0.03925 0.2 9.71875
9.98925 313 0 9.98925 0.03925 0.2 9.75
10.0205 314 0 10.0205 0.03925 0.2 9.78125
10.05175 315 0 10.05175 0.03925 0.2 9.8125
10.083 316 0 10.083 0.03925 0.2 9.84375
10.11425 317 0 10.11425 0.03925 0.2 9.875
10.1455 318 0 10.1455 0.03925 0.2 9.90625
10.17675 319 0 10.17675 0.03925 0.2 9.9375
10.208 320 0 10.208 0.03925 0.2 9.96875
10.23925 321 0 10.23925 0.03925 0.2 10.0
10.2705 322 0 10.2705 0.03925 0.2 10.03125
10.30175 323 0 10.30175 0.03925 0.2 10.0625
10.333 324 0 10.333 0.03925 0.2 10.09375
10.36425 325 0 10.36425 0.03925 0.2 10.125
10.3955 326 0 10.3955 0.03925 0.2 10.15625
10.42675 327 0 10.42675 0.03925 0.2 10.1875
10.458 328 0 10.458 0.03925 0.2 10.21875
10.48925 329 0 10.48925 0.03925 0.2 10.25
10.5205 330 0 10.5205 0.03925 0.2 10.28125
10.55175 331 0 10.55175 0.03925 0.2 10.3125
10.583 332 0 10.583 0.03925 0.2 10.34375
10.61425 333 0 10.61425 0.03925 0.2 10.375
10.6455 334 0 10.6455 0.03925 0.2 10.40625
10.67675 335 0 10.67675 0.03925 0.2 10.4375
10.708 336 0 10.708 0.03925 0.2 10.46875
10.73925 337 0 10.73925 0.03925 0.2 10.5
10.7705 338 0 10.7705 0.03925 0.2 10.53125
10.80175 339 0 10.80175 0.03925 0.2 10.5625
10.833 340 0 10.833 0.03925 0.2 10.59375
10.86425 341 0 10.86425 0.03925 0.2 10.625
10.8955 342 0 10.8955 0.03925 0.2 10.65625
10.92675 343 0 10.92675 0.03925 0.2 10.6875
10.958 344 0 10.958 0.03925 0.2 10.71875
10.98925 345 0 10.98925 0.03925 0.2 10.75
11.0205 346 0 11.0205 0.03925 0.2 10.78125
11.05175 347 0 11.05175 0.03925 0.2 10.8125
11.083 348 0 11.083 0.03925 0.2 10.84375
11.11425 349 0 11.11425 0.03925 0.2 10.875
11.1455 350 0 11.1455 0.03925 0.2 10.90625
11.17675 351 0 11.17675 0.03925 0.2 10.9375
11.208 352 0 11.208 0.03925 0.2 10.96875
11.23925 353 0 11.23925 0.03925 0.2 11.0
11.2705 354 0 11.2705 0.03925 0.2 11.03125
11.30175 355 0 11.30175 0.03925 0.2 11.0625
11.333 356 0 11.333 0.03925 0.2 11.09375
11.36425 357 0 11.36425 0.03925 0.2 11.125
11.3955 358 0 11.3955 0.03925 0.2 11.15625
11.42675 359 0 11.42675 0.03925 0.2 11.1875
11.458 360 0 11.458 0.03925 0.2 11.21875
11.48925 361 0 11.48925 0.03925 0.2 11.25
11.5205 362 0 11.5205 0.03925 0.2 11.28125
11.55175 363 0 11.55175 0.03925 0.2 11.3125
11.583 364 0 11.583 0.03925 0.2 11.34375
11.61425 365 0 11.61425 0.03925 0.2 11.375
11.6455 366 0 11.6455 0.03925 0.2 11.40625
11.67675 367 0 11.67675 0.03925 0.2 11.4375
11.708 368 0 11.708 0.03925 0.2 11.46875
11.73925 369 0 11.73925 0.03925 0.2 11.5
