Running simulation: 3 nodes, scenario 1b.
0.2012 149 0 0.2012 1.6e-05 0.2 0.001184
0.201208 150 0 0.201208 1.6e-05 0.2 0.001192
0.201216 151 0 0.201216 1.6e-05 0.2 0.0012
0.201224 152 0 0.201224 1.6e-05 0.2 0.001208
0.201232 153 0 0.201232 1.6e-05 0.2 0.001216
0.20124 154 0 0.20124 1.6e-05 0.2 0.001224
0.201248 155 0 0.201248 1.6e-05 0.2 0.001232
0.201256 156 0 0.201256 1.6e-05 0.2 0.00124
0.201264 157 0 0.201264 1.6e-05 0.2 0.001248
0.201272 158 0 0.201272 1.6e-05 0.2 0.001256
0.20128 159 0 0.20128 1.6e-05 0.2 0.001264
0.201288 160 0 0.201288 1.6e-05 0.2 0.001272
0.201296 161 0 0.201296 1.6e-05 0.2 0.00128
0.201304 162 0 0.201304 1.6e-05 0.2 0.001288
0.201312 163 0 0.201312 1.6e-05 0.2 0.001296
0.20132 164 0 0.20132 1.6e-05 0.2 0.001304
0.201328 165 0 0.201328 1.6e-05 0.2 0.001312
0.201336 166 0 0.201336 1.6e-05 0.2 0.00132
0.201344 167 0 0.201344 1.6e-05 0.2 0.001328
0.201352 168 0 0.201352 1.6e-05 0.2 0.001336
0.20136 169 0 0.20136 1.6e-05 0.2 0.001344
0.201368 170 0 0.201368 1.6e-05 0.2 0.001352
0.201376 171 0 0.201376 1.6e-05 0.2 0.00136
0.201384 172 0 0.201384 1.6e-05 0.2 0.001368
0.201392 173 0 0.201392 1.6e-05 0.2 0.001376
0.2014 174 0 0.2014 1.6e-05 0.2 0.001384
0.201408 175 0 0.201408 1.6e-05 0.2 0.001392
0.201416 176 0 0.201416 1.6e-05 0.2 0.0014
0.201424 177 0 0.201424 1.6e-05 0.2 0.001408
0.201432 178 0 0.201432 1.6e-05 0.2 0.001416
0.20144 179 0 0.20144 1.6e-05 0.2 0.001424
0.201448 180 0 0.201448 1.6e-05 0.2 0.001432
0.201456 181 0 0.201456 1.6e-05 0.2 0.00144
0.201464 182 0 0.201464 1.6e-05 0.2 0.001448
0.201472 183 0 0.201472 1.6e-05 0.2 0.001456
0.20148 184 0 0.20148 1.6e-05 0.2 0.001464
0.201488 185 0 0.201488 1.6e-05 0.2 0.001472
0.201496 186 0 0.201496 1.6e-05 0.2 0.00148
0.201504 187 0 0.201504 1.6e-05 0.2 0.001488
0.201512 188 0 0.201512 1.6e-05 0.2 0.001496
0.20152 189 0 0.20152 1.6e-05 0.2 0.001504
0.201528 190 0 0.201528 1.6e-05 0.2 0.001512
0.201536 191 0 0.201536 1.6e-05 0.2 0.00152
0.201544 192 0 0.201544 1.6e-05 0.2 0.001528
0.201552 193 0 0.201552 1.6e-05 0.2 0.001536
0.20156 194 0 0.20156 1.6e-05 0.2 0.001544
0.201568 195 0 0.201568 1.6e-05 0.2 0.001552
0.201576 196 0 0.201576 1.6e-05 0.2 0.00156
0.201584 197 0 0.201584 1.6e-05 0.2 0.001568
0.201592 198 0 0.201592 1.6e-05 0.2 0.001576
0.2016 199 0 0.2016 1.6e-05 0.2 0.001584
0.201608 200 0 0.201608 1.6e-05 0.2 0.001592
0.201616 201 0 0.201616 1.6e-05 0.2 0.0016
0.201624 202 0 0.201624 1.6e-05 0.2 0.001608
0.201632 203 0 0.201632 1.6e-05 0.2 0.001616
0.20164 204 0 0.20164 1.6e-05 0.2 0.001624
0.201648 205 0 0.201648 1.6e-05 0.2 0.001632
0.201656 206 0 0.201656 1.6e-05 0.2 0.00164
0.201664 207 0 0.201664 1.6e-05 0.2 0.001648
0.201672 208 0 0.201672 1.6e-05 0.2 0.001656
0.20168 209 0 0.20168 1.6e-05 0.2 0.001664
0.201688 210 0 0.201688 1.6e-05 0.2 0.001672
0.201696 211 0 0.201696 1.6e-05 0.2 0.00168
0.201704 212 0 0.201704 1.6e-05 0.2 0.001688
0.201712 213 0 0.201712 1.6e-05 0.2 0.001696
0.20172 214 0 0.20172 1.6e-05 0.2 0.001704
0.201728 215 0 0.201728 1.6e-05 0.2 0.001712
0.201736 216 0 0.201736 1.6e-05 0.2 0.00172
0.201744 217 0 0.201744 1.6e-05 0.2 0.001728
0.201752 218 0 0.201752 1.6e-05 0.2 0.001736
0.20176 219 0 0.20176 1.6e-05 0.2 0.001744
0.201768 220 0 0.201768 1.6e-05 0.2 0.001752
0.201776 221 0 0.201776 1.6e-05 0.2 0.00176
0.201784 222 0 0.201784 1.6e-05 0.2 0.001768
0.201792 223 0 0.201792 1.6e-05 0.2 0.001776
0.2018 224 0 0.2018 1.6e-05 0.2 0.001784
0.201808 225 0 0.201808 1.6e-05 0.2 0.001792
0.201816 226 0 0.201816 1.6e-05 0.2 0.0018
0.201824 227 0 0.201824 1.6e-05 0.2 0.001808
0.201832 228 0 0.201832 1.6e-05 0.2 0.001816
0.20184 229 0 0.20184 1.6e-05 0.2 0.001824
0.201848 230 0 0.201848 1.6e-05 0.2 0.001832
0.201856 231 0 0.201856 1.6e-05 0.2 0.00184
0.201864 232 0 0.201864 1.6e-05 0.2 0.001848
0.201872 233 0 0.201872 1.6e-05 0.2 0.001856
0.20188 234 0 0.20188 1.6e-05 0.2 0.001864
0.201888 235 0 0.201888 1.6e-05 0.2 0.001872
0.201896 236 0 0.201896 1.6e-05 0.2 0.00188
0.201904 237 0 0.201904 1.6e-05 0.2 0.001888
0.201912 238 0 0.201912 1.6e-05 0.2 0.001896
0.20192 239 0 0.20192 1.6e-05 0.2 0.001904
0.201928 240 0 0.201928 1.6e-05 0.2 0.001912
0.201936 241 0 0.201936 1.6e-05 0.2 0.00192
0.201944 242 0 0.201944 1.6e-05 0.2 0.001928
0.201952 243 0 0.201952 1.6e-05 0.2 0.001936
0.20196 244 0 0.20196 1.6e-05 0.2 0.001944
0.201968 245 0 0.201968 1.6e-05 0.2 0.001952
0.201976 246 0 0.201976 1.6e-05 0.2 0.00196
0.201984 247 0 0.201984 1.6e-05 0.2 0.001968
0.201992 248 0 0.201992 1.6e-05 0.2 0.001976
0.202 249 0 0.202 1.6e-05 0.2 0.001984
0.202008 250 0 0.202008 1.6e-05 0.2 0.001992
0.202016 251 0 0.202016 1.6e-05 0.2 0.002
0.202024 252 0 0.202024 1.6e-05 0.2 0.002008
0.202032 253 0 0.202032 1.6e-05 0.2 0.002016
0.20204 254 0 0.20204 1.6e-05 0.2 0.002024
0.202048 255 0 0.202048 1.6e-05 0.2 0.002032
0.202056 256 0 0.202056 1.6e-05 0.2 0.00204
0.202064 257 0 0.202064 1.6e-05 0.2 0.002048
0.202072 258 0 0.202072 1.6e-05 0.2 0.002056
0.20208 259 0 0.20208 1.6e-05 0.2 0.002064
0.202088 260 0 0.202088 1.6e-05 0.2 0.002072
0.202096 261 0 0.202096 1.6e-05 0.2 0.00208
0.202104 262 0 0.202104 1.6e-05 0.2 0.002088
0.202112 263 0 0.202112 1.6e-05 0.2 0.002096
0.20212 264 0 0.20212 1.6e-05 0.2 0.002104
0.202128 265 0 0.202128 1.6e-05 0.2 0.002112
0.202136 266 0 0.202136 1.6e-05 0.2 0.00212
0.202144 267 0 0.202144 1.6e-05 0.2 0.002128
0.202152 268 0 0.202152 1.6e-05 0.2 0.002136
0.20216 269 0 0.20216 1.6e-05 0.2 0.002144
0.202168 270 0 0.202168 1.6e-05 0.2 0.002152
0.202176 271 0 0.202176 1.6e-05 0.2 0.00216
0.202184 272 0 0.202184 1.6e-05 0.2 0.002168
0.202192 273 0 0.202192 1.6e-05 0.2 0.002176
0.2022 274 0 0.2022 1.6e-05 0.2 0.002184
0.202208 275 0 0.202208 1.6e-05 0.2 0.002192
0.202216 276 0 0.202216 1.6e-05 0.2 0.0022
0.202224 277 0 0.202224 1.6e-05 0.2 0.002208
0.202232 278 0 0.202232 1.6e-05 0.2 0.002216
0.20224 279 0 0.20224 1.6e-05 0.2 0.002224
0.202248 280 0 0.202248 1.6e-05 0.2 0.002232
0.202256 281 0 0.202256 1.6e-05 0.2 0.00224
0.202264 282 0 0.202264 1.6e-05 0.2 0.002248
0.202272 283 0 0.202272 1.6e-05 0.2 0.002256
0.20228 284 0 0.20228 1.6e-05 0.2 0.002264
0.202288 285 0 0.202288 1.6e-05 0.2 0.002272
0.202296 286 0 0.202296 1.6e-05 0.2 0.00228
0.202304 287 0 0.202304 1.6e-05 0.2 0.002288
0.202312 288 0 0.202312 1.6e-05 0.2 0.002296
0.20232 289 0 0.20232 1.6e-05 0.2 0.002304
0.202328 290 0 0.202328 1.6e-05 0.2 0.002312
0.202336 291 0 0.202336 1.6e-05 0.2 0.00232
0.202344 292 0 0.202344 1.6e-05 0.2 0.002328
0.202352 293 0 0.202352 1.6e-05 0.2 0.002336
0.20236 294 0 0.20236 1.6e-05 0.2 0.002344
0.202368 295 0 0.202368 1.6e-05 0.2 0.002352
0.202376 296 0 0.202376 1.6e-05 0.2 0.00236
0.202384 297 0 0.202384 1.6e-05 0.2 0.002368
0.202392 298 0 0.202392 1.6e-05 0.2 0.002376
0.2024 299 0 0.2024 1.6e-05 0.2 0.002384
0.202408 300 0 0.202408 1.6e-05 0.2 0.002392
0.202416 301 0 0.202416 1.6e-05 0.2 0.0024
0.202424 302 0 0.202424 1.6e-05 0.2 0.002408
0.202432 303 0 0.202432 1.6e-05 0.2 0.002416
0.20244 304 0 0.20244 1.6e-05 0.2 0.002424
0.202448 305 0 0.202448 1.6e-05 0.2 0.002432
0.202456 306 0 0.202456 1.6e-05 0.2 0.00244
0.202464 307 0 0.202464 1.6e-05 0.2 0.002448
0.202472 308 0 0.202472 1.6e-05 0.2 0.002456
0.20248 309 0 0.20248 1.6e-05 0.2 0.002464
0.202488 310 0 0.202488 1.6e-05 0.2 0.002472
0.202496 311 0 0.202496 1.6e-05 0.2 0.00248
0.202504 312 0 0.202504 1.6e-05 0.2 0.002488
0.202512 313 0 0.202512 1.6e-05 0.2 0.002496
0.20252 314 0 0.20252 1.6e-05 0.2 0.002504
0.202528 315 0 0.202528 1.6e-05 0.2 0.002512
0.202536 316 0 0.202536 1.6e-05 0.2 0.00252
0.202544 317 0 0.202544 1.6e-05 0.2 0.002528
0.202552 318 0 0.202552 1.6e-05 0.2 0.002536
0.20256 319 0 0.20256 1.6e-05 0.2 0.002544
0.202568 320 0 0.202568 1.6e-05 0.2 0.002552
0.202576 321 0 0.202576 1.6e-05 0.2 0.00256
0.202584 322 0 0.202584 1.6e-05 0.2 0.002568
0.202592 323 0 0.202592 1.6e-05 0.2 0.002576
0.2026 324 0 0.2026 1.6e-05 0.2 0.002584
0.202608 325 0 0.202608 1.6e-05 0.2 0.002592
0.202616 326 0 0.202616 1.6e-05 0.2 0.0026
0.202624 327 0 0.202624 1.6e-05 0.2 0.002608
0.202632 328 0 0.202632 1.6e-05 0.2 0.002616
0.20264 329 0 0.20264 1.6e-05 0.2 0.002624
0.202648 330 0 0.202648 1.6e-05 0.2 0.002632
0.202656 331 0 0.202656 1.6e-05 0.2 0.00264
0.202664 332 0 0.202664 1.6e-05 0.2 0.002648
0.202672 333 0 0.202672 1.6e-05 0.2 0.002656
0.20268 334 0 0.20268 1.6e-05 0.2 0.002664
0.202688 335 0 0.202688 1.6e-05 0.2 0.002672
0.202696 336 0 0.202696 1.6e-05 0.2 0.00268
0.202704 337 0 0.202704 1.6e-05 0.2 0.002688
0.202712 338 0 0.202712 1.6e-05 0.2 0.002696
0.20272 339 0 0.20272 1.6e-05 0.2 0.002704
0.202728 340 0 0.202728 1.6e-05 0.2 0.002712
0.202736 341 0 0.202736 1.6e-05 0.2 0.00272
0.202744 342 0 0.202744 1.6e-05 0.2 0.002728
0.202752 343 0 0.202752 1.6e-05 0.2 0.002736
0.20276 344 0 0.20276 1.6e-05 0.2 0.002744
0.202768 345 0 0.202768 1.6e-05 0.2 0.002752
0.202776 346 0 0.202776 1.6e-05 0.2 0.00276
0.202784 347 0 0.202784 1.6e-05 0.2 0.002768
0.202792 348 0 0.202792 1.6e-05 0.2 0.002776
0.2028 349 0 0.2028 1.6e-05 0.2 0.002784
0.202808 350 0 0.202808 1.6e-05 0.2 0.002792
0.202816 351 0 0.202816 1.6e-05 0.2 0.0028
0.202824 352 0 0.202824 1.6e-05 0.2 0.002808
0.202832 353 0 0.202832 1.6e-05 0.2 0.002816
0.20284 354 0 0.20284 1.6e-05 0.2 0.002824
0.202848 355 0 0.202848 1.6e-05 0.2 0.002832
0.202856 356 0 0.202856 1.6e-05 0.2 0.00284
0.202864 357 0 0.202864 1.6e-05 0.2 0.002848
0.202872 358 0 0.202872 1.6e-05 0.2 0.002856
0.20288 359 0 0.20288 1.6e-05 0.2 0.002864
0.202888 360 0 0.202888 1.6e-05 0.2 0.002872
0.202896 361 0 0.202896 1.6e-05 0.2 0.00288
0.202904 362 0 0.202904 1.6e-05 0.2 0.002888
0.202912 363 0 0.202912 1.6e-05 0.2 0.002896
0.20292 364 0 0.20292 1.6e-05 0.2 0.002904
0.202928 365 0 0.202928 1.6e-05 0.2 0.002912
0.202936 366 0 0.202936 1.6e-05 0.2 0.00292
0.202944 367 0 0.202944 1.6e-05 0.2 0.002928
0.202952 368 0 0.202952 1.6e-05 0.2 0.002936
0.20296 369 0 0.20296 1.6e-05 0.2 0.002944
0.202968 370 0 0.202968 1.6e-05 0.2 0.002952
0.202976 371 0 0.202976 1.6e-05 0.2 0.00296
0.202984 372 0 0.202984 1.6e-05 0.2 0.002968
0.202992 373 0 0.202992 1.6e-05 0.2 0.002976
0.203 374 0 0.203 1.6e-05 0.2 0.002984
0.203008 375 0 0.203008 1.6e-05 0.2 0.002992
0.203016 376 0 0.203016 1.6e-05 0.2 0.003
0.203024 377 0 0.203024 1.6e-05 0.2 0.003008
0.203032 378 0 0.203032 1.6e-05 0.2 0.003016
0.20304 379 0 0.20304 1.6e-05 0.2 0.003024
0.203048 380 0 0.203048 1.6e-05 0.2 0.003032
0.203056 381 0 0.203056 1.6e-05 0.2 0.00304
0.203064 382 0 0.203064 1.6e-05 0.2 0.003048
0.203072 383 0 0.203072 1.6e-05 0.2 0.003056
0.20308 384 0 0.20308 1.6e-05 0.2 0.003064
0.203088 385 0 0.203088 1.6e-05 0.2 0.003072
0.203096 386 0 0.203096 1.6e-05 0.2 0.00308
0.203104 387 0 0.203104 1.6e-05 0.2 0.003088
0.203112 388 0 0.203112 1.6e-05 0.2 0.003096
0.20312 389 0 0.20312 1.6e-05 0.2 0.003104
0.203128 390 0 0.203128 1.6e-05 0.2 0.003112
0.203136 391 0 0.203136 1.6e-05 0.2 0.00312
0.203144 392 0 0.203144 1.6e-05 0.2 0.003128
0.203152 393 0 0.203152 1.6e-05 0.2 0.003136
0.20316 394 0 0.20316 1.6e-05 0.2 0.003144
0.203168 395 0 0.203168 1.6e-05 0.2 0.003152
0.203176 396 0 0.203176 1.6e-05 0.2 0.00316
0.203184 397 0 0.203184 1.6e-05 0.2 0.003168
0.203192 398 0 0.203192 1.6e-05 0.2 0.003176
0.2032 399 0 0.2032 1.6e-05 0.2 0.003184
0.203208 400 0 0.203208 1.6e-05 0.2 0.003192
0.203216 401 0 0.203216 1.6e-05 0.2 0.0032
0.203224 402 0 0.203224 1.6e-05 0.2 0.003208
0.203232 403 0 0.203232 1.6e-05 0.2 0.003216
0.20324 404 0 0.20324 1.6e-05 0.2 0.003224
0.203248 405 0 0.203248 1.6e-05 0.2 0.003232
0.203256 406 0 0.203256 1.6e-05 0.2 0.00324
0.203264 407 0 0.203264 1.6e-05 0.2 0.003248
0.203272 408 0 0.203272 1.6e-05 0.2 0.003256
0.20328 409 0 0.20328 1.6e-05 0.2 0.003264
0.203288 410 0 0.203288 1.6e-05 0.2 0.003272
0.203296 411 0 0.203296 1.6e-05 0.2 0.00328
0.203304 412 0 0.203304 1.6e-05 0.2 0.003288
0.203312 413 0 0.203312 1.6e-05 0.2 0.003296
0.20332 414 0 0.20332 1.6e-05 0.2 0.003304
0.203328 415 0 0.203328 1.6e-05 0.2 0.003312
0.203336 416 0 0.203336 1.6e-05 0.2 0.00332
0.203344 417 0 0.203344 1.6e-05 0.2 0.003328
0.203352 418 0 0.203352 1.6e-05 0.2 0.003336
0.20336 419 0 0.20336 1.6e-05 0.2 0.003344
0.203368 420 0 0.203368 1.6e-05 0.2 0.003352
0.203376 421 0 0.203376 1.6e-05 0.2 0.00336
0.203384 422 0 0.203384 1.6e-05 0.2 0.003368
0.203392 423 0 0.203392 1.6e-05 0.2 0.003376
0.2034 424 0 0.2034 1.6e-05 0.2 0.003384
0.203408 425 0 0.203408 1.6e-05 0.2 0.003392
0.203416 426 0 0.203416 1.6e-05 0.2 0.0034
0.203424 427 0 0.203424 1.6e-05 0.2 0.003408
0.203432 428 0 0.203432 1.6e-05 0.2 0.003416
0.20344 429 0 0.20344 1.6e-05 0.2 0.003424
0.203448 430 0 0.203448 1.6e-05 0.2 0.003432
0.203456 431 0 0.203456 1.6e-05 0.2 0.00344
0.203464 432 0 0.203464 1.6e-05 0.2 0.003448
0.203472 433 0 0.203472 1.6e-05 0.2 0.003456
0.20348 434 0 0.20348 1.6e-05 0.2 0.003464
0.203488 435 0 0.203488 1.6e-05 0.2 0.003472
0.203496 436 0 0.203496 1.6e-05 0.2 0.00348
0.203504 437 0 0.203504 1.6e-05 0.2 0.003488
0.203512 438 0 0.203512 1.6e-05 0.2 0.003496
0.20352 439 0 0.20352 1.6e-05 0.2 0.003504
0.203528 440 0 0.203528 1.6e-05 0.2 0.003512
0.203536 441 0 0.203536 1.6e-05 0.2 0.00352
0.203544 442 0 0.203544 1.6e-05 0.2 0.003528
0.203552 443 0 0.203552 1.6e-05 0.2 0.003536
0.20356 444 0 0.20356 1.6e-05 0.2 0.003544
0.203568 445 0 0.203568 1.6e-05 0.2 0.003552
0.203576 446 0 0.203576 1.6e-05 0.2 0.00356
0.203584 447 0 0.203584 1.6e-05 0.2 0.003568
0.203592 448 0 0.203592 1.6e-05 0.2 0.003576
